Id,Chapter,Obtainable,Cost,Name,Score,Rarity,On Play,DiceNumber,D1 Type,D1 Roll,D1 Effect,D2 Type,D2 Roll,D2 Effect,D3 Type,D3 Roll,D3 Effect,D4 Type,D4 Roll,D4 Effect
100001,1,TRUE,0,Parry,3.5,Paperback,,2,Evasion,1-4,,Slash,1-2,,,,,,,
100002,1,TRUE,1,Thrust,4.25,Paperback,,2,Penetrate,1-4,,Penetrate,1-4,,,,,,,
100003,1,TRUE,2,Wallop,6.25,Paperback,,2,Hit,2-6,,Hit,2-4,,,,,,,
100004,1,TRUE,2,Preemptive Strike,7.375,Paperback,,2,Slash,3-5,,Evasion,1-8,,,,,,,
100005,1,TRUE,1,Quickness,5,Paperback,quickness1,2,Hit,1-4,,Evasion,1-6,,,,,,,
101001,1,TRUE,3,Gut-harvesting,10,Limited,,3,Slash,3-5,bleeding1atk,Slash,3-6,bleeding1atk,Guard,1-4,,,,
101002,1,TRUE,2,Rats’ Guide to Survival,8.75,Limited,,3,Guard,1-4,,Slash,3-4,bleeding1atk,Evasion,1-7,,,,
101003,1,TRUE,2,Dirty Blow,5.875,Limited,,2,Hit,3-6,bleeding2pw,Guard,1-3,,,,,,,
101004,1,TRUE,1,Bite Off,3.5,Hardcover,,2,Slash,1-4,bleeding1atk,Hit,1-2,,,,,,,
101005,1,TRUE,1,Backstreets Dash,3.625,Hardcover,,1,Penetrate,1-8,bleeding1atk,,,,,,,,,
101006,1,TRUE,1,Skitter Away,7.875,Hardcover,,3,Evasion,1-6,,Evasion,1-6,,Hit,1-4,,,,
102001,1,TRUE,3,Commandeering,11.875,Limited,,3,Hit,4-7,downgradeNext1pw,Guard,3-4,,Penetrate,3-4,,,,
102002,1,TRUE,2,You’re Too Slow,6.75,Hardcover,,2,Evasion,1-9,powerUpNext2pw,Slash,2-4,vulnerable2atk,,,,,,
102003,1,TRUE,2,Struggle,9.75,Limited,protection2,3,Guard,2-5,,Guard,2-5,,Hit,2-6,,,,
102004,1,TRUE,2,Time for a Little Test,7.875,Limited,,3,Guard,2-5,downgradeNext1pw,Slash,2-3,,Slash,2-3,,,,
102005,1,TRUE,1,Feelin’ Good,5.875,Hardcover,,2,Slash,1-5,vulnerable1atk,Guard,3-4,,,,,,,
102006,1,TRUE,1,Preparation,5.75,Hardcover,,2,Penetrate,2-3,,Guard,3-4,energy1dfn,,,,,,
103001,1,TRUE,2,B-blow It Up!,5.625,Limited,,2,Penetrate,1-6,paralysis1atk,Hit,2-4,,,,,,,
103002,1,TRUE,3,Y-you Only Live Once!,5.125,Limited,,1,Hit,1-12,paralysis2atk,,,,,,,,,
103003,1,TRUE,0,C-charge Up!,2.375,Limited,energy1paralysis1,1,Hit,2-3,,,,,,,,,,
103004,1,TRUE,1,E-endure,8.25,Hardcover,,3,Guard,2-5,,Guard,3-4,paralysis1pw,Hit,1-3,paralysis1atk,,,
103005,1,TRUE,2,D-dried Up,6.125,Hardcover,strength2,2,Slash,2-4,,Evasion,3-4,,,,,,,
103006,1,TRUE,2,C-chop It Off!,6.375,Hardcover,,3,Penetrate,2-3,,Slash,1-1,,Slash,3-3,,,,
104001,1,TRUE,2,Overpower,7.75,Limited,,2,Penetrate,5-6,bleeding2atk,Slash,2-3,,,,,,,
104002,1,TRUE,2,Goin’ First,8.75,Limited,,3,Evasion,1-7,,Penetrate,2-2,bleeding1atk,Penetrate,2-6,bleeding1atk,,,
104003,1,TRUE,2,Fend This Off If You Can,7,Limited,,2,Hit,4-4,downgradeNext1pw,Penetrate,3-3,bleeding2atk,,,,,,
104004,1,TRUE,3,Rampage,8.25,Hardcover,,3,Hit,1-3,bleeding1atk,Penetrate,2-4,bleeding1atk,Slash,3-5,,,,
104005,1,TRUE,0,Track,2.125,Hardcover,recoverHp1,1,Slash,1-4,,,,,,,,,,
104006,1,TRUE,2,Mutilate,6,Hardcover,,2,Slash,1-5,recoverHp1atk,Slash,2-6,recoverHp1atk,,,,,,
200001,2,TRUE,0,Pound,2.5,Paperback,,1,Hit,1-5,,,,,,,,,,
200002,2,TRUE,1,Multi-block,7.625,Paperback,,3,Hit,1-4,,Guard,1-4,,Guard,3-4,,,,
